domain,type,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years
.style,domainrenew,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.jewelry,domainregister,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.team,domainrenew,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.jewelry,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.juegos,domainregister,363.99,727.98,1091.97,1455.96,1819.95,2183.94,2547.93,2911.92,3275.91,3639.9
.world,domainrenew,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.juegos,domaintransfer,363.99,29.98,44.97,59.96,74.95,89.94,104.93,119.92,134.91,149.9
.jur.pro,domaintransfer,199,,,,,,,,,
.jur.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.accountant,domainrenew,25.69,51.38,77.07,102.76,128.45,154.14,179.83,205.52,231.21,256.9
.kim,domaintransfer,23.38,,,,,,,,,
.kim,domainregister,3.49,26.57,38.97,51.96,64.95,77.94,90.93,103.92,116.91,129.9
.cricket,domainrenew,25.69,51.38,77.07,102.76,128.45,154.14,179.83,205.52,231.21,256.9
.kitchen,domainregister,19.99,84.98,127.47,169.96,212.45,254.94,297.43,339.92,382.41,424.9
.beer,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.kitchen,domaintransfer,42.49,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.kiwi,domainregister,34.59,69.18,103.77,138.36,172.95,207.54,242.13,276.72,311.31,345.9
.cn,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.kiwi,domaintransfer,34.59,65.98,98.97,131.96,164.95,197.94,230.93,263.92,296.91,329.9
.l.lc,domainregister,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.cooking,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.l.lc,domaintransfer,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.land,domainregister,19.99,35.28,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.country,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.land,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.law.pro,domaintransfer,199,,,,,,,,,
.law.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.fashion,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.lc,domainregister,27.99,55.98,83.97,111.96,139.95,167.94,195.93,223.92,251.91,279.9
.fishing,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.lc,domaintransfer,27.99,55.98,83.97,111.96,139.95,167.94,195.93,223.92,251.91,279.9
.lease,domainregister,42.29,84.58,126.87,169.16,211.45,253.74,296.03,338.32,380.61,422.9
.fit,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.lease,domaintransfer,42.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.legal,domainregister,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.garden,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.legal,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.lgbt,domaintransfer,37.59,,,,,,,,,
.lgbt,domainregister,10.99,75.18,112.77,150.36,187.95,225.54,263.13,300.72,338.31,375.9
.horse,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.life,domainregister,4.99,30.28,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.love,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.life,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.lighting,domainregister,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.nyc,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.lighting,domaintransfer,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.limited,domainregister,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.rodeo,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.limited,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.limo,domainregister,43.29,86.58,129.87,173.16,216.45,259.74,303.03,346.32,389.61,432.9
.surf,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.limo,domaintransfer,43.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.link,domainregister,9.99,19.98,29.97,39.96,49.95,59.94,69.93,79.92,89.91,99.9
.vodka,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.link,domaintransfer,9.99,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.loan,domaintransfer,5.49,,,,,,,,,
.loan,domainregister,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.wedding,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.loans,domainregister,19.99,161.98,242.97,323.96,404.95,485.94,566.93,647.92,728.91,809.9
.yoga,domainrenew,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.loans,domaintransfer,80.99,161.98,242.97,323.96,404.95,485.94,566.93,647.92,728.91,809.9
.lotto,domaintransfer,1859,,,,,,,,,
.lotto,domainregister,1859,3718,5577,7436,9295,11154,13013,14872,16731,18590
.blog,domainrenew,26.59,53.18,79.77,106.36,132.95,159.54,186.13,212.72,239.31,265.9
.love,domaintransfer,25.99,,,,,,,,,
.love,domainregister,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.feedback,domainrenew,26.59,53.18,79.77,106.36,132.95,159.54,186.13,212.72,239.31,265.9
.ltd,domainregister,11.99,29.58,45.17,20.96,26.95,32.94,123.13,140.72,158.31,175.9
.pics,domainrenew,27.59,55.18,82.77,110.36,137.95,165.54,193.13,220.72,248.31,275.9
.ltd,domaintransfer,17.59,35.18,52.77,70.36,87.95,105.54,123.13,140.72,158.31,175.9
.ltd.uk,domainregister,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.study,domainrenew,27.59,55.18,82.77,110.36,137.95,165.54,193.13,220.72,248.31,275.9
.maison,domainregister,42.99,85.98,128.97,171.96,214.95,257.94,300.93,343.92,386.91,429.9
.bz,domainrenew,27.99,55.98,83.97,111.96,139.95,167.94,195.93,223.92,251.91,279.9
.maison,domaintransfer,42.99,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.management,domainregister,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.lc,domainrenew,27.99,55.98,83.97,111.96,139.95,167.94,195.93,223.92,251.91,279.9
.management,domaintransfer,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.marketing,domainregister,9.99,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.cat,domainrenew,28.99,57.98,86.97,115.96,144.95,173.94,202.93,231.92,260.91,289.9
.marketing,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.mba,domainregister,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.photo,domainrenew,28.99,57.98,86.97,115.96,144.95,173.94,202.93,231.92,260.91,289.9
.mba,domaintransfer,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.me,domainregister,9.99,19.98,29.97,39.96,49.95,59.94,69.93,79.92,89.91,99.9
.cc,domainrenew,29,58,87,116,145,174,203,232,261,290
.me,domaintransfer,29.99,59.98,89.97,119.96,149.95,179.94,209.93,239.92,269.91,299.9
.me.uk,domainregister,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.me,domainrenew,29.99,59.98,89.97,119.96,149.95,179.94,209.93,239.92,269.91,299.9
.med.pro,domaintransfer,199,,,,,,,,,
.med.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.co,domainrenew,30,60,90,120,150,180,210,240,270,300
.media,domainregister,14.99,35.28,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.rest,domainrenew,31.59,63.18,94.77,126.36,157.95,189.54,221.13,252.72,284.31,315.9
.media,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.memorial,domainregister,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.shop,domainrenew,32.59,65.18,97.77,130.36,162.95,195.54,228.13,260.72,293.31,325.9
.memorial,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.men,domaintransfer,5.49,,,,,,,,,
.men,domainregister,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.courses,domainrenew,34.59,69.18,103.77,138.36,172.95,207.54,242.13,276.72,311.31,345.9
.menu,domaintransfer,34.59,,,,,,,,,
.menu,domainregister,34.59,69.18,103.77,138.36,172.95,207.54,242.13,276.72,311.31,345.9
.kiwi,domainrenew,34.59,69.18,103.77,138.36,172.95,207.54,242.13,276.72,311.31,345.9
.mn,domainregister,55.99,111.98,167.97,223.96,279.95,335.94,391.93,447.92,503.91,559.9
.menu,domainrenew,34.59,69.18,103.77,138.36,172.95,207.54,242.13,276.72,311.31,345.9
.mn,domaintransfer,55.99,111.98,167.97,223.96,279.95,335.94,391.93,447.92,503.91,559.9
.mobi,domaintransfer,22.24,,,,,,,,,
.mobi,domainregister,4.54,26.78,49.02,71.26,83.55,103.54,123.53,143.52,163.51,183.5
.bayern,domainrenew,36.99,73.98,110.97,147.96,184.95,221.94,258.93,295.92,332.91,369.9
.money,domainregister,9.99,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.lgbt,domainrenew,37.59,75.18,112.77,150.36,187.95,225.54,263.13,300.72,338.31,375.9
.money,domaintransfer,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.movie,domainregister,299,598,897,1196,1495,1794,2093,2392,2691,2990
.online,domainrenew,39.99,79.98,119.97,159.96,199.95,227.94,265.93,303.92,341.91,379.9
.movie,domaintransfer,299,598,897,1196,1495,1794,2093,2392,2691,2990
.nagoya,domainregister,11.59,23.18,34.77,46.36,57.95,69.54,81.13,92.72,104.31,115.9
.tv,domainrenew,38,76,114,152,190,228,266,304,342,380
.nagoya,domaintransfer,11.59,23.18,34.77,46.36,57.95,69.54,81.13,92.72,104.31,115.9
.name,domaintransfer,10.99,,,,,,,,,
.name,domainregister,10.99,21.98,32.97,43.96,54.95,65.94,76.93,87.92,98.91,109.9
.tattoo,domainrenew,39.59,79.18,118.77,158.36,197.95,237.54,277.13,316.72,356.31,395.9
.name.vn,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.com.tw,domainrenew,39.99,79.98,119.97,159.96,199.95,239.94,279.93,319.92,359.91,399.9
.net,domaintransfer,13.05,,,,,,,,,
.net,domainregister,13.05,26.1,39.15,52.2,65.25,78.3,91.35,104.4,117.45,130.5
.net.tw,domainrenew,39.99,79.98,119.97,159.96,199.95,239.94,279.93,319.92,359.91,399.9
.net.ag,domainregister,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.org.tw,domainrenew,39.99,79.98,119.97,159.96,199.95,239.94,279.93,319.92,359.91,399.9
.net.ag,domaintransfer,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.net.co,domaintransfer,18,,,,,,,,,
.net.co,domainregister,30,60,90,120,150,180,210,240,270,300
.careers,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.in,domaintransfer,7.99,,,,,,,,,
.net.in,domainregister,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.clinic,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.lc,domainregister,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.dental,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.lc,domaintransfer,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.net.tw,domainregister,39.99,79.98,119.97,159.96,199.95,239.94,279.93,319.92,359.91,399.9
.financial,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.uk,domainregister,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.fund,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.vc,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.furniture,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.net.vc,domaintransfer,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.net.vn,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.restaurant,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.network,domainregister,5.99,23.28,40.57,70.36,87.95,105.54,123.13,140.72,158.31,175.9
.surgery,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.network,domaintransfer,17.59,35.18,52.77,70.36,87.95,105.54,123.13,140.72,158.31,175.9
.nom.ag,domainregister,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.tax,domainrenew,40.29,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.nom.ag,domaintransfer,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.nom.co,domaintransfer,18,,,,,,,,,
.nom.co,domainregister,30,60,90,120,150,180,210,240,270,300
.apartments,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.nyc,domainregister,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.bingo,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.nyc,domaintransfer,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.one,domaintransfer,9.89,,,,,,,,,
.one,domainregister,9.89,19.78,29.67,39.56,49.45,59.34,69.23,79.12,89.01,98.9
.business,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.online,domaintransfer,39.99,,,,,,,,,
.online,domainregister,1.99,41.98,81.97,121.96,199.95,239.94,279.93,319.92,359.91,399.9
.claims,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org,domaintransfer,12.19,,,,,,,,,
.org,domainregister,8.99,24.38,36.57,48.76,60.95,73.14,85.33,97.52,109.71,121.9
.coach,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.ag,domainregister,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.coupons,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.ag,domaintransfer,72.99,145.98,218.97,291.96,364.95,437.94,510.93,583.92,656.91,729.9
.org.in,domaintransfer,7.99,,,,,,,,,
.org.in,domainregister,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.delivery,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.lc,domainregister,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.finance,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.lc,domaintransfer,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.org.tw,domainregister,39.99,79.98,119.97,159.96,199.95,239.94,279.93,319.92,359.91,399.9
.golf,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.uk,domainregister,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.healthcare,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.vc,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.hockey,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.org.vc,domaintransfer,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.org.vn,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.insure,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.organic,domaintransfer,68.99,,,,,,,,,
.organic,domainregister,68.99,137.98,206.97,275.96,344.95,413.94,482.93,551.92,620.91,689.9
.jewelry,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.p.lc,domainregister,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.legal,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.p.lc,domaintransfer,22.99,45.98,68.97,91.96,114.95,137.94,160.93,183.92,206.91,229.9
.partners,domainregister,19.99,85.98,128.97,171.96,214.95,257.94,300.93,343.92,386.91,429.9
.memorial,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.partners,domaintransfer,42.99,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.parts,domainregister,19.99,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.pizza,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.parts,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.party,domaintransfer,5.49,,,,,,,,,
.party,domainregister,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.salon,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.pet,domaintransfer,23.38,,,,,,,,,
.pet,domainregister,3.49,26.87,38.97,51.96,64.95,77.94,90.93,103.92,116.91,129.9
.tennis,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.photo,domainregister,28.99,57.98,86.97,115.96,144.95,173.94,202.93,231.92,260.91,289.9
.theater,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.photo,domaintransfer,28.99,57.98,86.97,115.96,144.95,173.94,202.93,231.92,260.91,289.9
.photography,domainregister,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.tours,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.photography,domaintransfer,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.photos,domainregister,4.99,28.28,44.07,61.36,86.45,103.74,121.03,138.32,155.61,172.9
.vin,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.photos,domaintransfer,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.pics,domainregister,27.59,55.18,82.77,110.36,137.95,165.54,193.13,220.72,248.31,275.9
.wine,domainrenew,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.pics,domaintransfer,27.59,37.18,55.77,74.36,92.95,111.54,130.13,148.72,167.31,185.9
.pictures,domainregister,4.99,13.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.ac.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.pictures,domaintransfer,8.99,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.pink,domaintransfer,23.38,,,,,,,,,
.pink,domainregister,3.49,26.87,38.97,51.96,64.95,77.94,90.93,103.92,116.91,129.9
.com.vc,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.pizza,domainregister,14.99,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.edu.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.pizza,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.place,domainregister,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.gov.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.place,domaintransfer,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.plc.uk,domainregister,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.health.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.plumbing,domainregister,42.79,85.58,128.37,171.16,213.95,256.74,299.53,342.32,385.11,427.9
.info.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.plumbing,domaintransfer,42.79,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.plus,domainregister,9.99,30.17,39.17,22.96,28.95,153.54,179.13,204.72,230.31,255.9
.int.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.plus,domaintransfer,25.59,51.18,76.77,102.36,127.95,153.54,179.13,204.72,230.31,255.9
.poker,domaintransfer,69.41,,,,,,,,,
.poker,domainregister,10.99,80.4,112.77,150.36,187.95,225.54,263.13,300.72,338.31,375.9
.name.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.porn,domaintransfer,100,,,,,,,,,
.porn,domainregister,100,200,300,400,500,600,700,800,900,1000
.net.vc,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.press,domainregister,30.99,92.58,154.17,215.76,307.95,369.54,431.13,492.72,554.31,615.9
.net.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.press,domaintransfer,61.59,123.18,184.77,246.36,307.95,369.54,431.13,492.72,554.31,615.9
.pro,domaintransfer,16.08,,,,,,,,,
.pro,domainregister,3.72,19.8,35.88,51.96,60.55,74.51,88.53,102.52,116.51,130.5
.org.vc,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.pro.vn,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.org.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.productions,domainregister,9.99,35.28,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.pro.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.productions,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.properties,domainregister,9.99,35.28,60.07,85.36,126.45,151.74,177.03,202.32,227.61,252.9
.taxi,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.properties,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.property,domainregister,123.99,247.98,371.97,495.96,619.95,743.94,867.93,991.92,1115.91,1239.9
.vc,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.property,domaintransfer,123.99,57.98,86.97,115.96,144.95,173.94,202.93,231.92,260.91,289.9
.protection,domaintransfer,2395,,,,,,,,,
.protection,domainregister,2395,4790,7185,9580,11975,14370,16765,19160,21555,23950
.vn,domainrenew,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.pw,domaintransfer,18.39,,,,,,,,,
.pw,domainregister,3.99,11.38,18.77,26.16,36.95,44.34,51.73,59.12,66.51,73.9
.tech,domainrenew,41.99,83.98,125.97,167.96,209.95,251.94,293.93,335.92,377.91,419.9
.racing,domaintransfer,8.49,,,,,,,,,
.racing,domainregister,8.49,16.98,25.47,33.96,42.45,50.94,59.43,67.92,76.41,84.9
.holdings,domainrenew,42.29,84.58,126.87,169.16,211.45,253.74,296.03,338.32,380.61,422.9
.recht.pro,domaintransfer,199,,,,,,,,,
.recht.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.lease,domainrenew,42.29,84.58,126.87,169.16,211.45,253.74,296.03,338.32,380.61,422.9
.recipes,domainregister,9.99,85.58,128.37,171.16,213.95,256.74,299.53,342.32,385.11,427.9
.viajes,domainrenew,42.29,84.58,126.87,169.16,211.45,253.74,296.03,338.32,380.61,422.9
.recipes,domaintransfer,42.49,80.58,120.87,161.16,201.45,241.74,282.03,322.32,362.61,402.9
.red,domaintransfer,23.38,,,,,,,,,
.red,domainregister,3.49,26.87,38.97,51.96,64.95,77.94,90.93,103.92,116.91,129.9
.camera,domainrenew,42.49,84.98,127.47,169.96,212.45,254.94,297.43,339.92,382.41,424.9
.reisen,domainregister,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.cleaning,domainrenew,42.49,84.98,127.47,169.96,212.45,254.94,297.43,339.92,382.41,424.9
